,postcode,house_is,rooms_number,area,equipped_kitchen_has,open_fire,terrace,terrace_area,garden_area,facades_number
0,1000,True,10.0,850.0,True,False,False,0.0,0.0,0.0
1,1000,True,7.0,400.0,True,False,True,75.0,0.0,0.0
2,1000,True,4.0,272.0,True,False,True,32.0,16.0,0.0
3,1000,True,10.0,540.0,True,False,True,60.0,0.0,0.0
4,1000,True,2.0,362.0,True,False,True,0.0,0.0,4.0
5,1000,True,4.0,180.0,True,False,True,3.0,0.0,0.0
6,1000,True,4.0,230.0,False,False,False,0.0,0.0,0.0
7,1000,True,5.0,330.0,True,False,True,10.0,0.0,0.0
8,1000,True,10.0,716.0,True,False,True,15.0,0.0,0.0
9,1000,True,12.0,580.0,False,False,False,0.0,0.0,0.0
10,1000,True,0.0,630.0,True,False,False,0.0,0.0,0.0
11,1000,True,6.0,370.0,False,False,False,0.0,0.0,0.0
12,1000,True,5.0,270.0,True,False,False,0.0,0.0,0.0
13,1000,True,5.0,450.0,False,False,True,6.0,60.0,0.0
14,1000,True,4.0,330.0,True,False,False,0.0,0.0,3.0
15,1000,True,6.0,250.0,False,False,False,0.0,0.0,0.0
16,1000,True,7.0,365.0,False,False,False,0.0,0.0,0.0
17,1000,True,6.0,280.0,False,False,True,22.0,0.0,3.0
18,1000,True,11.0,330.0,True,False,True,0.0,0.0,0.0
19,1000,True,25.0,1193.0,True,False,True,0.0,0.0,0.0
20,1000,True,12.0,640.0,True,False,True,0.0,0.0,0.0
21,1000,True,5.0,250.0,False,False,False,0.0,0.0,0.0
22,1000,True,7.0,450.0,True,False,True,0.0,0.0,0.0
23,1000,True,5.0,315.0,True,False,False,0.0,0.0,3.0
24,1000,True,6.0,300.0,True,False,False,0.0,0.0,0.0
25,1000,True,4.0,282.0,False,False,False,0.0,0.0,0.0
26,1000,True,46.0,1600.0,False,False,False,0.0,0.0,0.0
27,1000,True,5.0,230.0,True,False,False,0.0,0.0,3.0
28,1000,True,1.0,105.0,True,False,True,8.0,0.0,3.0
29,1000,True,4.0,275.0,True,False,True,25.0,75.0,2.0
30,1000,True,8.0,210.0,True,False,True,8.0,0.0,3.0
31,1000,True,5.0,259.0,True,False,True,14.0,50.0,2.0
32,1000,True,4.0,650.0,True,False,True,20.0,150.0,3.0
33,1000,True,4.0,444.0,True,False,True,20.0,0.0,2.0
34,1000,True,5.0,235.0,True,False,True,30.0,0.0,3.0
35,1000,True,6.0,838.0,True,False,False,0.0,0.0,3.0
36,1000,True,5.0,245.0,True,False,True,20.0,0.0,2.0
37,1000,True,5.0,236.0,True,True,False,0.0,100.0,3.0
38,1000,True,5.0,300.0,True,False,True,20.0,0.0,2.0
39,1000,True,6.0,250.0,True,False,False,0.0,50.0,3.0
40,1000,True,10.0,600.0,True,False,True,3.0,0.0,2.0
41,1000,False,2.0,180.0,True,False,True,70.0,0.0,2.0
42,1000,False,4.0,650.0,True,True,True,400.0,0.0,2.0
43,1000,False,1.0,80.0,True,False,False,0.0,0.0,2.0
44,1000,False,3.0,114.0,True,False,True,0.0,0.0,2.0
45,1000,False,3.0,125.0,True,False,True,9.0,0.0,2.0
46,1000,False,5.0,165.0,True,False,False,0.0,0.0,0.0
47,1000,False,3.0,195.0,True,False,True,45.0,0.0,0.0
48,1000,False,1.0,39.0,True,False,True,0.0,0.0,2.0
49,1000,False,3.0,171.0,True,False,True,28.0,0.0,0.0
50,1000,False,0.0,26.0,False,False,False,0.0,0.0,2.0
51,1000,False,2.0,93.0,True,False,True,9.0,0.0,2.0
52,1000,False,0.0,56.0,True,False,True,7.0,0.0,2.0
53,1000,False,2.0,115.0,True,False,True,3.0,0.0,2.0
54,1000,False,2.0,95.0,True,False,True,10.0,0.0,2.0
55,1000,False,2.0,106.0,True,False,True,20.0,0.0,2.0
56,1000,False,2.0,119.0,True,False,True,11.0,0.0,2.0
57,1000,False,2.0,112.0,True,False,True,27.0,0.0,2.0
58,1000,False,3.0,240.0,True,False,True,5.0,0.0,2.0
59,1000,False,3.0,115.0,True,False,True,15.0,0.0,2.0
60,1000,False,1.0,55.0,True,False,True,3.0,0.0,2.0
61,1000,False,4.0,260.0,True,True,True,11.0,0.0,2.0
62,1000,False,1.0,70.0,True,False,True,5.0,0.0,2.0
63,1000,False,3.0,270.0,True,False,True,4.0,0.0,2.0
64,1000,False,4.0,225.0,True,False,True,8.0,0.0,3.0
65,1000,False,4.0,294.0,True,False,False,0.0,0.0,2.0
66,1000,False,2.0,113.0,True,False,True,2.0,0.0,2.0
67,1000,False,1.0,71.0,True,False,False,0.0,0.0,2.0
68,1000,False,1.0,75.0,True,False,False,0.0,0.0,2.0
69,1000,False,1.0,66.0,True,False,True,5.0,0.0,2.0
70,1000,False,2.0,97.0,True,False,True,5.0,0.0,2.0
71,1000,False,2.0,100.0,True,False,True,18.0,0.0,2.0
72,1000,False,3.0,144.0,True,False,True,14.0,0.0,0.0
73,1000,False,3.0,400.0,True,False,True,0.0,0.0,3.0
74,1000,False,1.0,64.0,True,False,True,3.0,0.0,2.0
75,1000,False,1.0,67.0,True,False,False,0.0,0.0,2.0
76,1000,False,5.0,155.0,True,False,False,0.0,0.0,3.0
77,1000,False,2.0,161.0,True,False,True,14.0,0.0,2.0
78,1000,False,3.0,247.0,True,False,True,180.0,0.0,0.0
79,1000,False,2.0,92.0,True,False,True,5.0,0.0,2.0
80,1000,False,4.0,220.0,True,False,False,0.0,0.0,2.0
81,1000,False,3.0,100.0,True,False,True,10.0,0.0,2.0
82,1000,False,1.0,64.0,True,False,True,22.0,0.0,2.0
83,1000,False,0.0,55.0,False,False,True,4.0,0.0,2.0
84,1000,False,2.0,115.0,True,False,False,0.0,0.0,2.0
85,1000,False,6.0,624.0,True,False,True,312.0,0.0,3.0
86,1000,False,2.0,120.0,True,False,True,10.0,0.0,2.0
87,1000,False,2.0,110.0,True,False,True,8.0,0.0,2.0
88,1000,False,2.0,102.0,True,True,False,0.0,0.0,2.0
89,1000,False,2.0,82.0,True,False,False,0.0,0.0,2.0
90,1000,False,2.0,90.0,True,False,True,29.0,0.0,2.0
91,1000,False,3.0,105.0,True,False,True,7.0,0.0,2.0
92,1000,False,2.0,90.0,True,False,True,9.0,0.0,2.0
93,1000,False,3.0,128.0,True,False,True,14.0,0.0,2.0
94,1000,False,3.0,226.0,True,False,True,35.0,0.0,0.0
95,1000,False,4.0,288.0,True,True,True,12.0,0.0,2.0
96,1000,False,0.0,26.0,False,False,False,0.0,0.0,2.0
97,1000,False,2.0,80.0,True,False,True,14.0,0.0,2.0
98,1000,False,3.0,198.0,True,False,True,20.0,0.0,2.0
99,1000,False,2.0,75.0,True,False,True,2.0,0.0,2.0
100,1000,False,4.0,220.0,True,False,True,12.0,0.0,0.0
101,1000,False,3.0,130.0,True,False,True,40.0,0.0,0.0
102,1000,False,1.0,42.0,True,False,False,0.0,0.0,2.0
103,1000,False,2.0,90.0,True,False,False,0.0,0.0,2.0
104,1000,False,2.0,95.0,True,False,True,20.0,0.0,2.0
105,1000,False,3.0,110.0,True,False,True,20.0,0.0,0.0
106,1000,False,2.0,110.0,True,False,True,35.0,120.0,0.0
107,1000,False,2.0,108.0,True,True,False,0.0,0.0,2.0
108,1000,False,1.0,68.0,True,False,True,5.0,0.0,2.0
109,1000,False,1.0,75.0,True,False,True,5.0,0.0,2.0
110,1000,False,1.0,76.0,True,False,True,7.0,0.0,2.0
111,1000,False,1.0,76.0,True,False,True,7.0,0.0,2.0
112,1000,False,1.0,68.0,True,False,True,5.0,0.0,2.0
113,1000,False,1.0,75.0,True,False,True,5.0,0.0,2.0
114,1000,False,2.0,100.0,True,False,True,18.0,0.0,0.0
